Statistics for AC 12kWh Charger (0-20%):
--------------------------------------
Start Time: 2.546467, Charging Time: 2.929993
Start Time: 34.382379, Charging Time: 3.240434
Start Time: 20.649393, Charging Time: 43.690753
Start Time: 4.428101, Charging Time: 60.305282
Start Time: 59.235620, Charging Time: 7.263302
Start Time: 41.438065, Charging Time: 35.714185
Start Time: 27.587238, Charging Time: 57.822361
Start Time: 79.599343, Charging Time: 8.743986
Start Time: 14.280308, Charging Time: 75.662067
Start Time: 96.239186, Charging Time: 5.795952
Start Time: 34.107016, Charging Time: 74.613344
Start Time: 110.823867, Charging Time: 10.038543
Start Time: 101.699461, Charging Time: 21.892762
Start Time: 119.309916, Charging Time: 10.722286
Start Time: 86.694151, Charging Time: 48.919472
Start Time: 87.293093, Charging Time: 51.139334
Start Time: 125.146398, Charging Time: 13.483890
Start Time: 116.440453, Charging Time: 23.722481
Start Time: 119.209538, Charging Time: 31.866872
Start Time: 149.755775, Charging Time: 6.267159
Start Time: 135.003110, Charging Time: 21.346783
Start Time: 141.029766, Charging Time: 28.206185
Start Time: 108.172828, Charging Time: 62.663934
Start Time: 138.228468, Charging Time: 44.695121
Start Time: 152.089180, Charging Time: 33.502623
Start Time: 169.285177, Charging Time: 16.496557
Start Time: 142.116748, Charging Time: 44.256801
Start Time: 141.329743, Charging Time: 45.734592
Start Time: 147.817564, Charging Time: 45.998775
Start Time: 128.835123, Charging Time: 70.898099
Start Time: 130.538746, Charging Time: 70.683568
Start Time: 198.264977, Charging Time: 9.196205
Start Time: 137.646007, Charging Time: 69.972294
Start Time: 167.719267, Charging Time: 44.548572
Start Time: 212.127031, Charging Time: 5.428152
Start Time: 196.770417, Charging Time: 26.181750
Start Time: 202.884838, Charging Time: 26.755806
Start Time: 190.742774, Charging Time: 39.058350
Start Time: 189.708374, Charging Time: 41.924066
Start Time: 227.297844, Charging Time: 5.268124
Start Time: 187.177457, Charging Time: 47.872741
Start Time: 224.004411, Charging Time: 12.291319
Start Time: 186.796306, Charging Time: 61.631469
Start Time: 202.602539, Charging Time: 59.388668
Start Time: 217.036076, Charging Time: 50.080626
Start Time: 259.824672, Charging Time: 24.095455
