Statistics for AC 11kWh Charger (0-20%):
--------------------------------------
Start Time: 80.879843, Charging Time: 68.340140
Start Time: 171.244611, Charging Time: 29.534895
Start Time: 317.669925, Charging Time: 5.362143
Start Time: 586.014158, Charging Time: 68.569677
Start Time: 683.574709, Charging Time: 23.351265
Start Time: 1075.544439, Charging Time: 76.845979
Start Time: 1154.556337, Charging Time: 11.412986
Start Time: 1257.945989, Charging Time: 21.331642
Start Time: 1265.982534, Charging Time: 34.540315
Start Time: 1334.844487, Charging Time: 5.231910
Start Time: 1343.428313, Charging Time: 48.003723
Start Time: 1379.356238, Charging Time: 42.460861
--------------------------------------
Average Charging Time: 36.248795 mins
======================================
Statistics for AC 12kWh Charger (0-20%):
--------------------------------------
Start Time: 30.081095, Charging Time: 69.908510
Start Time: 47.114839, Charging Time: 68.299907
Start Time: 108.085172, Charging Time: 41.155367
Start Time: 159.194889, Charging Time: 14.201160
Start Time: 158.848069, Charging Time: 24.948014
Start Time: 204.701068, Charging Time: 8.020840
Start Time: 175.604472, Charging Time: 38.992582
Start Time: 168.578199, Charging Time: 55.252952
Start Time: 190.691717, Charging Time: 63.232322
Start Time: 279.673538, Charging Time: 3.583969
Start Time: 254.896750, Charging Time: 46.303059
Start Time: 269.540946, Charging Time: 35.751292
Start Time: 308.400034, Charging Time: 23.675204
Start Time: 440.262410, Charging Time: 6.168551
Start Time: 444.353096, Charging Time: 23.860795
Start Time: 438.749619, Charging Time: 63.012773
Start Time: 509.913359, Charging Time: 6.482486
Start Time: 558.680653, Charging Time: 13.197894
Start Time: 604.865629, Charging Time: 29.576162
Start Time: 591.995226, Charging Time: 55.355004
Start Time: 610.889658, Charging Time: 43.378743
Start Time: 730.680394, Charging Time: 33.510376
Start Time: 856.864656, Charging Time: 19.417548
Start Time: 996.347137, Charging Time: 9.823916
Start Time: 949.497992, Charging Time: 62.755572
Start Time: 1006.968414, Charging Time: 40.594538
Start Time: 1048.840477, Charging Time: 4.930165
Start Time: 1120.475593, Charging Time: 45.065616
Start Time: 1224.892132, Charging Time: 54.543564
Start Time: 1265.389466, Charging Time: 40.568722
Start Time: 1283.766534, Charging Time: 36.650772
Start Time: 1355.278865, Charging Time: 55.823661
Start Time: 1382.431531, Charging Time: 33.315963
--------------------------------------
Average Charging Time: 35.495697 mins
======================================
Statistics for AC 22kWh Charger (0-20%):
--------------------------------------
Start Time: 3.596704, Charging Time: 1.464996
Start Time: 6.870197, Charging Time: 13.603360
Start Time: 6.251864, Charging Time: 14.644115
Start Time: 7.928714, Charging Time: 13.244641
Start Time: 12.664706, Charging Time: 12.152175
Start Time: 12.181747, Charging Time: 14.965719
Start Time: 25.438116, Charging Time: 3.341466
Start Time: 13.471721, Charging Time: 15.784487
Start Time: 12.255722, Charging Time: 18.376044
Start Time: 19.119159, Charging Time: 14.520967
Start Time: 26.354582, Charging Time: 8.570848
Start Time: 17.641962, Charging Time: 20.774951
Start Time: 22.351126, Charging Time: 19.337333
Start Time: 22.938424, Charging Time: 18.900449
Start Time: 26.498992, Charging Time: 21.845376
Start Time: 47.503770, Charging Time: 1.620217
Start Time: 33.200315, Charging Time: 17.129746
Start Time: 41.537075, Charging Time: 10.154782
Start Time: 29.068494, Charging Time: 25.020659
Start Time: 24.197758, Charging Time: 30.221333
Start Time: 18.091236, Charging Time: 37.831033
Start Time: 39.177216, Charging Time: 17.140924
Start Time: 40.897529, Charging Time: 16.482536
Start Time: 57.992879, Charging Time: 1.470543
Start Time: 21.919365, Charging Time: 38.657182
Start Time: 23.439017, Charging Time: 37.530306
Start Time: 30.360972, Charging Time: 30.786218
Start Time: 28.190267, Charging Time: 35.411920
Start Time: 32.202785, Charging Time: 38.541322
Start Time: 58.325679, Charging Time: 14.256603
Start Time: 66.693832, Charging Time: 9.239165
Start Time: 69.548748, Charging Time: 6.875867
Start Time: 65.736810, Charging Time: 13.750774
Start Time: 52.042313, Charging Time: 27.924732
Start Time: 59.348569, Charging Time: 30.610598
Start Time: 63.273601, Charging Time: 30.624477
Start Time: 69.008056, Charging Time: 30.377186
Start Time: 63.672434, Charging Time: 35.932523
Start Time: 83.611848, Charging Time: 17.754627
Start Time: 65.157070, Charging Time: 36.668996
Start Time: 65.325580, Charging Time: 36.604407
Start Time: 87.169297, Charging Time: 17.777628
Start Time: 103.502302, Charging Time: 3.913371
